 Never Let Me Go , Kazuo Ishiguro
 Animal’s People , Indra Sinha
 The Elegance of the Hedgehog , Muriel Barbery
 Saturday , Ian McEwan
 Falling Man , Don DeLillo
 The Children’s Book , AS Byatt
 On Beauty , Zadie Smith
 The Reluctant Fundamentalist , Mohsin Hamid
 Invisible , Paul Auster
 Slow Man , JM Coetzee
 Half of a Yellow Sun , Chimamanda Ngozi Adichie
 American Rust , Philipp Meyer
 Adjunct: An Undigest , Peter Manson
 The Kindly Ones , Jonathan Littell
 Cost: A Novel , Roxana Robinson
 The Sea , John Banville
 The Inheritance of Loss , Kiran Desai
The White Tiger , Aravind Adiga
 The Red Queen , Margaret Drabble
 Against the Day , Thomas Pynchon
 Home , Marilynne Robinson
 The Plot Against America , Philip Roth
 Carry Me Down , MJHyland
" Kieron Smith, Boy ", James Kelman
 The Master , Colm Tóibín
 Mother’s Milk , Edward StAubyn
 The Gathering , Anne Enright
 Vanishing Point , David Markson
 Measuring the World , Daniel Kehlmann
 The Blind Side Of The Heart , Julia Franck
 The Lambs of London , Peter Ackroyd
 A Short History of Tractors in Ukrainian , Marina Lewycka
 The Brief Wondrous Life of Oscar Wao , Junot Diaz
 Dining on Stones , Iain Sinclair
 Cloud Atlas , David Mitchell
 The Accidental , Ali Smith
 Drop City , T Coraghessan Boyle
 The Line of Beauty , Alan Hollinghurst
 The Colour , Rose Tremain
2666, Roberto Bolano
 Thursbitch , Alan Garner
 Small Island , Andrea Levy
 The Light of Day , Graham Swift
 The Book about Blanche and Marie , Per Olov Enquist
 What I Loved , Siri Hustvedt
 The Curious Incident of the Dog in the Night-Time , Mark Haddon
 Islands , Dan Sleigh
 Suite Francaise , Irene Nemirovsky
 Elizabeth Costello , JM Coetzee
 The Swarm , Frank Schatzing
 London Orbital , Iain Sinclair
 Family Matters , Rohinton Mistry
 Your Face Tomorrow , Javier Marias
 Fingersmith , Sarah Waters
 A Tale of Love and Darkness , Amos Oz
 The Double , José Saramago
 Everything is Illuminated , Jonathan Safran Foer
 Unless , Carol Shields
 Lady Number Thirteen , Jose Carlos Somoza
 Kafka on the Shore , Haruki Murakami
 The Successor , Ismail Kadare
 The Story of Lucy Gault , William Trevor
 Vernon God Little , DBC Pierre
 That They May Face the Rising Sun , John McGahern
 The Namesake , Jhumpa Lahiri
 In the Forest , Edna O’Brien
 Shroud , John Banville
 Middlesex , Jeffrey Eugenides
 Youth , JM Coetzee
 Dead Air , Iain Banks
 Snow , Orhan Pamuk
 Nowhere Man , Aleksandar Hemon
The Book of Illusions , Paul Auster
 Gabriel’s Gift , Hanif Kureishi
 Austerlitz , WG Sebald
 Platform , Michael Houellebecq
 Schooling , Heather McGowan
 Soldiers of Salamis , Javer Cercas
 Atonement , Ian McEwan
 I’m Not Scared , Niccolo Ammaniti
 The Corrections , Jonathan Franzen
 Don’t Move , Margaret Mazzantini
 The Amazing Adventures of Kavalier & Clay , Michael Chabon
 The Body Artist , Don DeLillo
 Fury , Salman Rushdie
" At Swim, Two Boys ", Jamie O’Neill
 Choke , Chuck Palahniuk
 Life of Pi , Yann Martel
 The Feast of the Goat , Mario Vargos Llosa
 An Obedient Father , Akhil Sharma
 The Devil and Miss Prym , Paulo Coelho
" Spring Flowers, Spring Frost ", Ismail Kadare
 Bartleby and Co,  Enrique Vila-Matas
 White Teeth , Zadie Smith
 The Heart of Redness , Zakes Mda
 Under the Skin , Michel Faber
 Ignorance , Milan Kundera
 Nineteen Seventy Seven , David Peace
 Celestial Harmonies , Péter Esterházy
 City of God , EL Doctorow
 How the Dead Live , Will Self
 The Human Stain , Philip Roth
 The Blind Assassin , Margaret Atwood
 After the Quake , Haruki Murakami
 Small Remedies , Shashi Deshpande
 Super-Cannes , JG Ballard
 House of Leaves , Mark Z Danielewski
 Blonde , Joyce Carol Oates
 Pastoralia , George Saunders
 The Museum of Unconditional Surrender , Dubravka Urgresic
 In Search of Klingsor , Jorge Volpi
 Pavel’s Letters , Monika Maron
 Savage Detectives , Roberto Bolano
 Dirty Havana Trilogy , Pedro Juan Guitierrez
 The Heretic , Miguel Deliber
 Crossfire , Miyabe Miyuki
 Timbuktu , Paul Auster
 The Romantics , Pankaj Mishra
 Cryptonomicon , Neal Stephenson
 As If I Am Not There , Slavenka Drakulić
 Money to Burn , Ricardo Piglia
 Everything You Need , AL Kennedy
 Fear and Trembling , Amélie Nothomb
 Margot and the Angels , Kristien Hemmerechts
 The Ground Beneath Her Feet , Salman Rushdie
 Disgrace , JM Coetzee
 Sputnik Sweetheart , Haruki Murakami
 Fall on Your Knees , Ann-Marie MacDonald
 Elementary Particles , Michel Houellebecq
 A Light Comedy , Eduardo Mendoza
 Intimacy , Hanif Kureishi
 Ian McEwan 82, Cloudsplitter  Russell Banks
 All Souls Day , Cees Nooteboom
 The Talk of the Town , Ardal O’Hanlon
 Tipping the Velvet , Sarah Waters
 The Poisonwood Bible , Barbara Kingsolver
 Glamorama , Bret Easton Ellis
 Another World , Pat Barker
 The Hours , Michael Cunningham
 Santa Evita , Tomas Eloy Martinez
 Veronika Decides to Die , Paulo Coelho
 Mason & Dixon , Thomas Pynchon
 The God of Small Things , Arundhati Roy
 Memoirs of a Geisha , Arthur Golden
 Great Apes , Will Self
 The Late-Night News , Petros Markaris
 Enduring Love , Ian McEwan
 Troubling Love , Elena Ferrante
 Underworld , Don DeLillo
 Jack Maggs , Peter Carey
 The Life of Insects , Victor Pelevin
 Our Lady of Assassins , Fernando Vallejo
 American Pastoral , Philip Roth
 The Untouchable , John Banville
 Silk , Alessandro Baricco
 Cocaine Nights , JG Ballard
 Hallucinating Foucault , Patricia Duncker
 Fugitive Pieces , Anne Michaels
 The Ghost Road , Pat Barker
 Deep River , Shusaku Endo
 Forever a Stranger , Hella Haasse
 Infinite Jest , David Foster Wallace
 The Clay Machine-Gun , Victor Pelevin
" Waiting for the Dark, Waiting for the Light ", Ivan Klima
 Alias Grace , Margaret Atwood
 The Unconsoled , Kazuo Ishiguro
 Alan Warner 112, The Information  Martin Amis
 The Twins , Tessa de Loo
 The Moor’s Last Sigh , Salman Rushdie
 Sabbath’s Theater , Philip Roth
 The Rings of Saturn , WG Sebald
 The Reader , Bernhard Schlink
 A Fine Balance , Rohinton Mistry
 Love’s Work , Gillian Rose
 The Holder of the World , Bharati Mukherjee
 The End of the Story , Lydia Davis
 Remembering Babylon , David Malouf
 Mr, Vertigo  Paul Auster
 The Adventures and Misadventures of Magroll , Alvaro Mutis
 The Folding Star , Alan Hollinghurst
 Whatever , Michel Houellebecq
 Before Night Falls , Reinaldo Arenas
 Land , Park Kyong-ni
 The Master of Petersburg , JM Coetzee
 The Wind-Up Bird Chronicle , Haruki Murakami
 Uncle Petros and Goldbach’s Conjecture , Apostolos Doxiadis
 Pereira Declares: A Testimony , Antonio Tabucchi
 The Triple Mirror of the Self , Zulfikar Ghose
 City Sister Silver , Jàchym Topol
 All the Pretty Horses , Cormac McCarthy
" How Late It Was, How Late ", James Kelman
 Captain Corelli’s Mandolin , Louis de Bernieres
 Felicia’s Journey , William Trevor
 Disappearance , David Dabydeen
 The Invention of Curried Sausage , Uwe Timm
 The Shipping News , E Annie Proulx
 The Dumas Club , Arturo Perez-Reverte
 Trainspotting , Irvine Welsh
 Birdsong , Sebastian Faulks
 Looking for the Possible Dance , AL Kennedy
 Operation Shylock , Philip Roth
 Memoirs of Rain , Sunetra Gupta
 Complicity , Iain Banks
 On Love , Alain de Botton
 What a Carve Up! , Jonathan Coe
 A Suitable Boy , Vikram Seth
 The Stone Diaries , Carol Shields
 The Virgin Suicides , Jeffrey Eugenides
 The House of Doctor Dee , Peter Ackroyd
 Astradeni , Eugenia Fakinou
 The Robber Bride , Margaret Atwood
 Faceless Killers , Henning Mankell
 The Emigrants , WG Sebald
 The Laws , Connie Palmen
 The Secret History , Donna Tartt
 Life is a Caravanserai , Emine Özdamar
 The Discovery of Heaven , Harry Mulisch
 The Daughter , Pavlos Matesis
 A Heart So White , Javier Marias
 Possessing the Secret of Joy , Alice Walker
 Indigo , Marina Warner
 The Crow Road , Iain Banks
 Written on the Body , Jeanette Winterson
 Jazz , Toni Morrison
 The English Patient , Michael Ondaatje
 The Shadow Lines , Amitav Ghosh
 Smilla’s Sense of Snow , Peter Høeg
 The Butcher Boy , Patrick McCabe
 Black Water , Joyce Carol Oates
 The Heather Blazing , Colm Tóibín
 Asphodel , HD (Hilda Doolittle)
 Black Dogs , Ian McEwan
 Hideous Kinky , Esther Freud
 Arcadia , Jim Crace
 The Great Indian Novel , Shashi Tharoor
 Wild Swans , Jung Chang
 American Psycho , Bret Easton Ellis
 Time’s Arrow , Martin Amis
 Mao II , Don DeLillo
 Typical , Padgett Powell
 Inland , Gerald Murnane
 Regeneration , Pat Barker
 Obabakoak , Bernando Atxaga
 Downriver , Iain Sinclair
 Gimmick! , Joost Zwagerman
 Señor Vivo and the Coca Lord , Louis de Bernieres
Wise Children , Angela Carter
 Paradise of the Blind , Duong Thu Huong
 Get Shorty , Elmore Leonard
 Amongst Women , John McGahern
 Vineland , Thomas Pynchon
 Vertigo , WG Sebald
 Stone Junction , Jim Dodge
 The Last World , Christopher Ransmayr
 The Music of Chance , Paul Auster
 The First Garden , Anne Herbert
 The Things They Carried , Tim O’Brien
 A Home at the End of the World , Michael Cunningham
 Like Life , Lorrie Moore
 Possession , AS Byatt
 Kitchen , Banana Yashimoto
 The Buddha of Suburbia , Hanif Kureishi
 The Midnight Examiner , William Kotzwinkle
 A Disaffection , James Kelman
 Sexing the Cherry , Jeanette Winterson
 Moon Palace , Paul Auster
 Black Box , Amos Oz
 Billy Bathgate , EL Doctorow
 Remains of the Day , Kazuo Ishiguro
 All Souls , Javier Marias
 The Melancholy of Resistance , László Krasznahorkai
 The Temple of My Familiar , Alice Walker
 Of Love and Shadows , Isabel Allende
 The Trick is to Keep Breathing , Janice Galloway
 The History of the Siege of Lisbon , José Saramago
 Like Water for Chocolate , Laura Esquivel
 A Prayer for Owen Meany , John Irving
 The Ballad for Georg Henig , Viktor Paskov
 London Fields , Martin Amis
 The Book of Evidence , John Banville
 Cat’s Eye , Margaret Atwood
 Foucault’s Pendulum , Umberto Eco
 The Beautiful Room is Empty , Edmund White
 Wittgenstein’s Mistress , David Markson
 Memory of Fire , Eduardo Galeano
 The Satanic Verses , Salman Rushdie
 The Swimming-Pool Library , Alan Hollinghurst
 Oscar and Lucinda , Peter Carey
 Libra , Don DeLillo
 The Player of Games , Iain M Banks
 The Beautiful Mrs, Seidenman  Andrzej Szczypiorski
 Nervous Conditions , Tsitsi Dangarembga
 Ancestral Voices , Etienne van Heerden
 The Long Dark Teatime of the Soul , Douglas Adams
 Dirk Gently’s Holistic Detective Agency , Douglas Adams
 The Radiant Way , Margaret Drabble
 Annie John , Jamaica Kincaid
 Peter Handke 213, The Black Dahlia  James Ellroy
 Simon and the Oaks , Marianne Fredriksson
 The Passion , Jeanette Winterson
 The Pigeon , Patrick Süskind
 Blood Meridian , Cormac McCarthy
 The Child in Time , Ian McEwan
 Cigarettes , Harry Mathews
 Tom Wolfe 219, The New York Trilogy  Paul Auster
 World’s End , T Coraghessan Boyle
 Half of Man is Woman , Zhang Xianliang
 Enigma of Arrival , VS Naipaul
 The Taebek Mountains , Jo Jung-rae
 Love Medicine , Louise Erdich
 Beloved , Toni Morrison
 The Young Man , Botho Strauss
 Anagrams , Lorrie Moore
 Matigari , Ngugi Wa Thiong’o
 Marya , Joyce Carol Oates
 Watchmen , Alan Moore & David Gibbons
 The Old Devils , Kingsley Amis
 Lost Language of Cranes , David Leavitt
 An Artist of the Floating World , Kazuo Ishiguro
 Extinction , Thomas Bernhard
 Democracy , Joan Didion
 Foe , JM Coetzee
 The Drowned and the Saved , Primo Levi
 Reasons to Live , Amy Hempel
 The Parable of the Blind , Gert Hofmann
 Larva: Midsummer Night’s Babel , Julian Rios
 Love in the Time of Cholera , Gabriel García Márquez
 Oranges Are Not the Only Fruit , Jeanette Winterson
 Professor Martens’ Departure , Jaan Kross
 The Cider House Rules , John Irving
 A Maggot , John Fowles
 Less Than Zero , Bret Easton Ellis
 Contact , Carl Sagan
 The Witness , Juan Jose Saer
 The Handmaid’s Tale , Margaret Atwood
 Fado Alexandrino , Antonio Lobo Antunes
 Perfume , Patrick Süskind
 The Christmas Oratorio , Goran Tunstrom
 Old Masters , Thomas Bernhard
 White Noise , Don DeLillo
 Queer , William Burroughs
 Hawksmoor , Peter Ackroyd
 Legend , David Gemmell
 Dictionary of the Khazars , Milorad Pavić
 Baltasar and Blimunda , Jose Saramago
 The Bus Conductor Hines , James Kelman
 The Book of Diquiet , Fernando Pessoa
 The Year of the Death of Ricardo Reis , José Saramago
 The Lover , Marguerite Duras
 Empire of the Sun , JG Ballard
 The Wasp Factory , Iain Banks
 Nights at the Circus , Angela Carter
 The Unbearable Lightness of Being , Milan Kundera
 Blood and Guts in High School , Kathy Acker
 Neuromancer , William Gibson
 Flaubert’s Parrot , Julian Barnes
 Money: A Suicide Note , Martin Amis
" Couples, Passerby ", Botho Strauss
 Shame , Salman Rushdie
 Worstward Ho , Samuel Beckett
 Fools of Fortune , William Trevor
 The War at the End of the World , Mario Vargas Llosa
 La Brava , Elmore Leonard
 Leaden Wings , Zhang Jie
 Waterland , Graham Swift
 The House with the Blind Glass Windows , Herbjorg Wassmo
 The Life and Times of Michael K , JM Coetzee
 The Diary of Jane Somers , Doris Lessing
 The Piano Teacher , Elfriede Jelinek
 The Sorrow of Belgium , Hugo Claus
" If Not Now, When? ", Primo Levi
 Smell of Sadness , Alfred Kossmann
 A Boy’s Own Story , Edmund White
 The Color Purple , Alice Walker
 Wittgenstein’s Nephew , Thomas Bernhard
 Clear Light of Day , Anita Desai
 A Pale View of Hills , Kazuo Ishiguro
 Schindler’s Ark , Thomas Keneally
 Southern Seas , Manuel Vasquez Montalban
 The House of the Spirits , Isabel Allende
 The Newton Letter , John Banville
 Fool’s Gold , Maro Douka
 On the Black Hill , Bruce Chatwin
 Concrete , Thomas Bernhard
 A Dry White Season , Andre Brink
 The Names , Don DeLillo
 Rabbit is Rich , John Updike
 Lanark: A Life in Four Books , Alasdair Gray
 So Long a Letter , Mariama Ba
 The Comfort of Strangers , Ian McEwan
 July’s People , Nadine Gordimer
 Summer in Baden-Baden , Leonid Tsypkin
 Broken April , Ismail Kadare
 Waiting for the Barbarians , JM Coetzee
 The Back Room , Carmen Martin Gaite
 Midnight’s Children , Salman Rushdie
 Rites of Passage , William Golding
 Rituals , Cees Nooteboom
 Confederacy of Dunces , John Kennedy Toole
 Requiem for a Dream , Hubert Selby Jr
 City Primeval , Elmore Leonard
 The Beggar Maid , Alice Munro
 The Name of the Rose , Umberto Eco
 The Book of Laughter and Forgetting , Milan Kundera
 Smiley’s People , John Le Carré
 Shikasta , Doris Lessing
 The Wars , Timothy Findley
 A Bend in the River , VS Naipaul
 Burger’s Daughter , Nadine Gordimer
 The Safety Net , Heinrich Böll
 Quartet in Autumn , Barbara Pym
 If On a Winter’s Night a Traveler , Italo Calvino
 The Engineer of Human Souls , Josef Skvorecky
 The Hitchhiker’s Guide to the Galaxy , Douglas Adams
  The Cement Garden , Ian McEwan
 Almost Transparent Blue , Ryu Murakami
 The World According to Garp , John Irving
 Kiss of the Spider Woman , Manuel Puig
 Life: A User’s Manual , Georges Perec
" The Sea, The Sea ", Iris Murdoch
 The Singapore Grip , JG Farrell
 Yes , Thomas Bernhard
 Blaming , Elizabeth Taylor
 The Virgin in the Garden , AS Byatt
 In the Heart of the Country , JM Coetzee
 Angela Carter 311, Delta of Venus  Anaïs Nin
 The Shining , Stephen King
 Dispatches , Michael Herr
 Petals of Blood , Ngugi Wa Thiong’o
 Song of Solomon , Toni Morrison
 The Hour of the Star , Clarice Lispector
 Woman at Point Zero , Nawal El Saadawai
 The Left-Handed Woman , Peter Handke
 Ratner’s Star , Don DeLillo
 The Year of the Hare , Arto Paasilinna
 The Public Burning , Robert Coover
 The Commandant , Jessica Anderson
 Interview With the Vampire , Anne Rice
 Cutter and Bone , Newton Thornburg
 The Port , Antun Soljan
 Amateurs , Donald Barthelme
 Patterns of Childhood , Christa Wolf
 Autumn of the Patriarch , Gabriel García Márquez
" W, or the Memory of Childhood ", Georges Perec
 The Diviners , Margaret Laurence
 A Dance to the Music of Time , Anthony Powell
 The Dispossessed , Ursula K Le Guin
 Grimus , Salman Rushdie
 The Dead Father , Donald Barthelme
 Fateless , Imre Kertész
 Willard and His Bowling Trophies , Richard Brautigan
 High Rise , JG Ballard
 Humboldt’s Gift , Saul Bellow
 Dead Babies , Martin Amis
 Correction , Thomas Bernhard
 Ragtime , EL Doctorow
 The Optimistrist’s Daughter , Eudora Welty
 The Fan Man , William Kotzwinkle
 The Twilight Years , Sawako Ariyoshi
 Dusklands , JM Coetzee
 The Lost Honor of Katharina Blum , Heinrich Böll
 Tinker Tailor Soldier Spy , John Le Carré
 Breakfast of Champions ," Kurt Vonnegut, Jr"
 Fear of Flying , Erica Jong
 A Question of Power , Bessie Head
 Lives of Girls & Women , Alice Munro
 The Siege of Krishnapur , JG Farrell
 The Castle of Crossed Destinies , Italo Calvino
 Crash , JG Ballard
 The Honorary Consul , Graham Greene
 Cataract , Mykhaylo Osadchyl
 Gravity’s Rainbow , Thomas Pynchon
 The Black Prince , Iris Murdoch
 Sula , Toni Morrison
 Invisible Cities , Italo Calvino
 The Breast , Philip Roth
 A World for Julius , Alfredo Bryce Echenique
 The Summer Book , Tove Jansson
 G , John Berger
 Play It As It Lays , Joan Didion
 Surfacing , Margaret Atwood
 Fifth Business , Robertson Davies
 House Mother Normal , BS Johnson
" Here’s to You, Jesusa ", Elena Poniatowska
 In A Free State , VS Naipaul
 Seasons of Migrations to the North , Tayeb Salih
 The Book of Daniel , EL Doctorow
 Heartbreak Tango , Manuel Puig
 Fear and Loathing in Las Vegas , Hunter S Thompson
 Moscow Stations , Venedikt Yerofeev
 Group Portrait With Lady , Heinrich Böll
 The Case Worker , Gyorgy Konrad
 The Wild Boys , William Burroughs
 Rabbit Redux , John Updike
 The Sea of Fertility , Yukio Mishima
 The Driver’s Seat , Muriel Spark
 The Ogre , Michael Tournier
 The Bluest Eye , Toni Morrison
 Jacob the Liar , Jurek Becker
 Goalie’s Anxiety at the Penalty Kick , Peter Handke
 I Know Why the Caged Bird Sings , Maya Angelou
 Mercier et Camier , Samuel Beckett
 Troubles , JG Farrell
 Jahrestage , Uwe Johnson
 The Atrocity Exhibition , JG Ballard 
 Tent of Miracles , Jorge Amado
 Pricksongs and Descants , Robert Coover
 Blind Man With a Pistol , Chester Hines
 Slaughterhouse-five ," Kurt Vonnegut, Jr"
 The French Lieutenant’s Woman , John Fowles
 The Green Man , Kingsley Amis
 Portnoy’s Complaint , Philip Roth
