 Never Let Me Go , Kazuo Ishiguro
 The Godfather , Mario Puzo
 Ada , Vladimir Nabokov
 Them , Joyce Carol Oates
 The Cathedral , Oles Honchar
 A Void/Avoid , Georges Perec
 Eva Trout , Elizabeth Bowen
 Myra Breckinridge , Gore Vidal
 Day of the Dolphin , Robert Merle
 The Nice and the Good , Iris Murdoch
 Belle du Seigneur , Albert Cohen
 Cancer Ward , Aleksandr Isayevich Solzhenitsyn
 The Manor , Isaac Bashevis Singer
 The First Circle , Aleksandr Isayevich Solzhenitsyn
 2001: A Space Odyssey , Arthur C Clarke
 Z , Vassilis Vassilikos
 Do Androids Dream of Electric Sheep? , Philip K Dick
 Miramar , Naguib Mahfouz
 Dark as the Grave Wherein My Friend is Laid , Malcolm Lowry
 The German Lesson , Siegfried Lenz
 In Watermelon Sugar , Richard Brautigan
 A Kestrel for a Knave , Barry Hines
 The Quest for Christa T,  Christa Wolf
 Chocky , John Wyndham
 Marks of Identity , Juan Goytisolo
 The Electric Kool-Aid Acid Test , Tom Wolfe
 The Cubs and Other Stories , Mario Vargas Llosa
 One Hundred Years of Solitude , Gabriel García Márquez
 To Each His Own , Leonardo Sciascia
 The Master and Margarita , Mikhail Bulgakov
 Silence , Shusaku Endo
 Pilgrimage , Dorothy Richardson
 Death and the Dervish , Mesa Selimovic
 The Joke , Milan Kundera
 No Laughing Matter , Angus Wilson
 The Third Policeman , Flann O’Brien
 A Man Asleep , Georges Perec
" Garden, Ashes ", Danilo Kis
 The Birds Fall Down , Rebecca West
 Trawl , BS Johnson
 Closely Watched Trains , Bohumil Hrabal
 In Cold Blood , Truman Capote
 Back to Oegstgeest , Jan Wolkers
 The Magus , John Fowles
 The Vice-Consul , Marguerite Duras
 Wide Sargasso Sea , Jean Rhys
 The Three Trapped Tigers , Guillermo Cabrera Infante
 Giles Goat-Boy , John Barth
 The Crying of Lot 49 , Thomas Pynchon
 Things , Georges Perec
 The River Between , Ngugi wa Thiong’o
 August is a Wicked Month , Edna O’Brien
" God Bless You, Mr", Rosewater  Kurt Vonnegut
 Everything That Rises Must Converge , Flannery O’Connor
 The Passion According to G,H  Clarice Lispector
 Sometimes a Great Notion , Ken Kesey
" Come Back, Dr", Caligari  Donald Bartholme
 Albert Angelo , BS Johnson
 Arrow of God , Chinua Achebe
 Dog Years , Gunter Grass
 The Ravishing of Lol V, Stein  Marguerite Duras
 The Third Wedding , Costas Taktsis
 Herzog , Saul Bellow
 V,  Thomas Pynchon
 Cat’s Cradle , Kurt Vonnegut
 The Time of the Hero -Mario Vargas Llosa,
 The Graduate , Charles Webb
 The Death of Artemio Cruz , Carlos Fuentes
 Manon des Sources , Marcel Pagnol
 The Spy Who Came in from the Cold , John Le Carré
 The Girls of Slender Means , Muriel Spark
 Inside Mr, Enderby  Anthony Burgess
 The Bell Jar , Sylvia Plath
 Time of Silence , Luis Martin-Santos
 One Day in the Life of Ivan Denisovich , Aleksandr Isayevich Solzhenitsyn
 The Collector , John Fowles
 One Flew Over the Cuckoo’s Nest , Ken Kesey
 A Clockwork Orange , Anthony Burgess
 Memoirs of a Peasant Boy , Xose Neira Vilas
 Pale Fire , Vladimir Nabokov
 The Drowned World , JG Ballard
 No One Writes to the Colonel , Gabriel Garcia Marquez
 The Golden Notebook , Doris Lessing
 Labyrinths , Jorg Luis Borges
 Girl With Green Eyes , Edna O’Brien
 The Garden of the Finzi-Continis , Giorgio Bassani
 Stranger in a Strange Land , Robert Heinlein
 Franny and Zooey , JD Salinger
 A Severed Head , Iris Murdoch
 The Shipyard , Juan Carlos Onetti
 Faces in the Water , Janet Frame
 God’s Bits of Wood , Ousmane Sembene
 Solaris , Stanislaw Lem
 Bebo’s Girl , Carlo Cassola
 Cat and Mouse , Günter Grass
 The Prime of Miss Jean Brodie , Muriel Spark
 Halftime , Martin Walser
 Catch-22 , Joseph Heller
 The Magician of Lublin , Isaac Bashevis Singer
 The Violent Bear it Away , Flannery O’Connor
 How It Is , Samuel Beckett
 Our Ancestors , Italo Calvino
 The Country Girls , Edna O’Brien
 To Kill a Mockingbird , Harper Lee
" Rabbit, Run ", John Updike
 Promise at Dawn , Romain Gary
 Cider With Rosie , Laurie Lee
 Billy Liar , Keith Waterhouse
 Down Second Avenue , Ezekiel Mphahlele
 Naked Lunch , William Burroughs
 The Tin Drum , Günter Grass
 Absolute Beginners , Colin MacInnes
 Henderson the Rain King , Saul Bellow
 Deep Rivers , Jose Maria Arguedas
 Memento Mori , Muriel Spark
 Billiards at Half-Past Nine , Heinrich Böll
 The Guide , RKNarayan
 Breakfast at Tiffany’s , Truman Capote
 The Leopard , Giuseppe Tomasi di Lampedusa
 Pluck the Bud and Destroy the Offspring , Kenzaburo Oe
 A Town Like Alice , Nevil Shute
" Gabriela, Clove and Cinnamon ", Jorge Amado
 The Bitter Glass , Eilís Dillon
 Things Fall Apart , Chinua Achebe
 Saturday Night and Sunday Morning , Alan Sillitoe
 Mrs, ‘Arris Goes to Paris  Paul Gallico
 The Birds , Tarjei Vesaas
 Borstal Boy , Brendan Behan
 The End of the Road , John Barth
 The Once and Future King , TH White
 The Bell , Iris Murdoch
 Jealousy , Alain Robbe-Grillet
 Voss , Patrick White
 The Deadbeats , Ward Ruyslinck
 The Midwich Cuckoos , John Wyndham
 The Manila Rope , Veijo Meri
 Blue Noon , Georges Bataille
 Homo Faber , Max Frisch
 On the Road , Jack Kerouac
 Pnin , Vladimir Nabokov
 The Glass Bees , Ernst Junger
 Doctor Zhivago , Boris Pasternak
 The Wonderful “O” , James Thurber
 Justine , Lawrence Durrell
 Giovanni’s Room , James Baldwin
 The Lonely Londoners , Sam Selvon
 The Roots of Heaven , Romain Gary
 Seize the Day , Saul Bellow
 The Floating Opera , John Barth
 The Lord of the Rings , JRR
 The Devil to Pay in the Backlands , Joao Guimaraes Rosa
 The Talented Mr, Ripley  Patricia Highsmith
 Lolita , Vladimir Nabokov
 The Tree of Man , Patrick White
 A World of Love , Elizabeth Bowen
 The Trusting and the Maimed , James Plunkett
 The Quiet American , Graham Greene
 The Burning Plain , Juan Rulfo
 The Last Temptation of Christ , Nikos Kazantzákis
 The Recognitions , William Gaddis
 The Ragazzi , Pier Paulo Pasolini
 Bonjour Tristesse , Françoise Sagan
 The Unknown Soldier , Vaino Linna
 I’m Not Stiller , Max Frisch
 The Sound of Waves , Yukio Mishima
 Self Condemned , Wyndham Lewis
 Death in Rome , Wolfgang Koeppen
 The Story of O , Pauline Réage
 A Ghost at Noon , Alberto Moravia
 The Mandarins , Simone de Beauvoir
 Lord of the Flies , William Golding
 Under the Net , Iris Murdoch
 The Go-Between , LP Hartley
 The Long Goodbye , Raymond Chandler
 The Unnamable , Samuel Beckett
 A Day in Spring , Ciril Kosmac
 Watt , Samuel Beckett
 The Dark Child , Camara Laye
 Lucky Jim , Kingsley Amis
 Junkie , William Burroughs
 The Adventures of Augie March , Saul Bellow
 The Hothouse , Wolfgang Koeppen
 Go Tell It on the Mountain , James Baldwin
 The Lost Steps , Alejo Capentier
 Casino Royale , Ian Fleming
 The Judge and His Hangman , Friedrich Dürrenmatt
 Invisible Man , Ralph Ellison
 The Old Man and the Sea , Ernest Hemingway
 Wise Blood , Flannery O’Connor
 A Thousand Cranes , Yasunari Kawabata
 The Killer Inside Me , Jim Thompson
 Excellent Women , Barbara Pym
 Memoirs of Hadrian , Marguerite Yourcenar
 Malone Dies , Samuel Beckett
 The Day of the Triffids , John Wyndham
 Foundation , Isaac Asimov
 The Opposing Shore , Julien Gracq
 The Hive , Camilo Jose Cela
 The Catcher in the Rye , JD Salinger
 The Rebel , Albert Camus
 Molloy , Samuel Beckett
 The End of the Affair , Graham Greene
 The Abbot C , Georges Bataille
 The Labyrinth of Solitude , Octavio Paz
 The Third Man , Graham Greene
 The 13 Clocks , James Thurber
 Gormenghast , Mervyn Peake
 The Grass is Singing , Doris Lessing
 Barabbas , Par Lagerkvist
" I, Robot ", Isaac Asimov
 The Guiltless , Hermann Broch
 The Moon and the Bonfires , Cesare Pavese
 The Garden Where the Brass Band Played , Simon Vestdijk
 Love in a Cold Climate , Nancy Mitford
 The Case of Comrade Tulayev , Victor Serge
 The Heat of the Day , Elizabeth Bowen
 Kingdom of This World , Alejo Carpentier
 The Man With the Golden Arm , Nelson Algren
 Nineteen Eighty-Four , George Orwell
 All About H, Hatterr  GV
 Disobedience , Alberto Moravia
 Death Sentence , Maurice Blanchot
 The Heart of the Matter , Graham Greene
" Cry, the Beloved Country ", Alan Paton
 Doctor Faustus , Thomas Mann
 The Victim , Saul Bellow
 Exercises in Style , Raymond Queneau
 If This Is a Man , Primo Levi
" The Way for the Gas, Ladies and Gentlemen ", Tadeusz Borowski
 Under the Volcano , Malcolm Lowry
 In The Heart of the Seas , Shmuel Yosef Agnon
 The Path to the Nest of Spiders , Italo Calvino
 The Plague , Albert Camus
 Back , Henry Green
 Titus Groan , Mervyn Peake
 Ashes and Diamonds , Jerzy Andrzejewski
 The Bridge on the Drina , Ivo Andrić
 Journey to the Alcarria , Camilo Jose Cela
 Brideshead Revisited , Evelyn Waugh
 Froth on the Daydream , Boris Vlan
 Animal Farm , George Orwell
 Midaq Alley , Naguib Mahfouz
 Cannery Row , John Steinbeck
 The Pursuit of Love , Nancy Mitford
 Loving , Henry Green
 Arcanum 17 , André Breton
 Christ Stopped at Eboli , Carlo Levi
 The Razor’s Edge , William Somerset Maugham
 Transit , Anna Seghers
 House in the Uplands , Erskine Caldwell
 Ficciones , Jorge Luis Borges
 Dangling Man , Saul Bellow
 Zorba the Greek , Nikos Kazantzákis
 The Little Prince , Antoine de Saint-Exupéry
 Caught , Henry Green
 The Death of Virgil , Herman Broch
 The Glass Bead Game , Herman Hesse
 Andrea , Carmen Laforet
 Embers , Sandor Marai
 The Tin Flute , Gabrielle Roy
" Go Down, Moses ", William Faulkner
 Bosnian Chronicle , Ivo Andrić
 The Outsider , Albert Camus
 In Sicily , Elio Vittorini
 The Poor Mouth , Flann O’Brien
 The Living and the Dead , Patrick White
 Hangover Square , Patrick Hamilton
 Between the Acts , Virginia Woolf
 The Hamlet , William Faulkner
 Pippi Longstocking , Astrid Lindgren
 Farewell My Lovely , Raymond Chandler   (Alternate review)
 For Whom the Bell Tolls , Ernest Hemingway
 Native Son , Richard Wright
 The Power and the Glory , Graham Greene
 The Tartar Steppe , Dino Buzzati
 Joseph and His Brothers , Thomas Mann
 Party Going , Henry Green
 The Grapes of Wrath , John Steinbeck
 Chess Story , Stefan Zweig
 Finnegans Wake , James Joyce
 At Swim-Two-Birds , Flann O’Brien
 Coming Up for Air , George Orwell
 Goodbye to Berlin , Christopher Isherwood
 The Harvesters , Cesare Pavese
 Tropic of Capricorn , Henry Miller
" Good Morning, Midnight ", Jean Rhys
 Broad and Aliens is the World , Ciro Alegria
 The Big Sleep , Raymond Chandler
 The Man Who Loved Children , Christina Stead
 After the Death of Don Juan , Sylvie Townsend Warner
 Miss Pettigrew Lives for a Day , Winifred Watson
 Nausea , Jean-Paul Sartre
 Rebecca , Daphne du Maurier
 Cause for Alarm , Eric Ambler
 Brighton Rock , Graham Greene
 U,SA 
 Murphy , Samuel Beckett
 Of Mice and Men , John Steinbeck
 Their Eyes Were Watching God , Zora Neale Hurston
 The Hobbit , JRR
 On the Edge of Reason , Miroslav Krleza
 The Years , Virginia Woolf
 In Parenthesis , David Jones
 The Revenge for Love , Wyndham Lewis
 Out of Africa , Isak Dineson (Karen Blixen)
 Alamut , Vladimir Bartol
 To Have and Have Not , Ernest Hemingway
 Summer Will Show , Sylvia Townsend Warner
 Eyeless in Gaza , Aldous Huxley
 The Thinking Reed , Rebecca West
 Gone With the Wind , Margaret Mitchell
 Keep the Aspidistra Flying , George Orwell
 Wild Harbour , Ian MacPherson
" Absalom, Absalom! ", William Faulkner
 The Blind Owl , Sadegh Hedayat
 At the Mountains of Madness , HP Lovecraft
 Ferdydurke , Witold Gombrowicz
 Nightwood , Djuna Barnes
 Independent People , Halldór Laxness
 Auto-da-Fé , Elias Canetti
 Rickshaw Boy , Lao She
 The Last of Mr, Norris  Christopher Isherwood
" They Shoot Horses, Don’t They? ", Horace McCoy
 The House in Paris , Elizabeth Bowen
 England Made Me , Graham Greene
 Burmese Days , George Orwell
 The Nine Tailors , Dorothy L Sayers
 War with the Newts , Karel Capek
 Threepenny Novel , Bertolt Brecht
 Novel With Cocaine , M Ageyev
 The Postman Always Rings Twice , James M Cain
 Tropic of Cancer , Henry Miller
 A Handful of Dust , Evelyn Waugh
 Untouchable , Mulk Raj Anand
 Tender is the Night , F Scott Fitzgerald
" Thank You, Jeeves ", PG Wodehouse
 Call it Sleep , Henry Roth
 Miss Lonelyhearts , Nathanael West
 Murder Must Advertise , Dorothy L Sayers
 The Bells of Basel , Louis Aragon
 The Autobiography of Alice B, Toklas  Gertrude Stein
 On the Heights of Despair , Emil Cioran
 Testament of Youth , Vera Brittain
 A Day Off , Storm Jameson
 The Man Without Qualities , Robert Musil
 A Scots Quair (Sunset Song) , Lewis Grassic Gibbon
 Journey to the End of the Night , Louis-Ferdinand Céline
 The Street of Crocodiles , Bruno Schulz
 Brave New World , Aldous Huxley
 Cold Comfort Farm , Stella Gibbons
 To the North , Elizabeth Bowen
 The Thin Man , Dashiell Hammett
 The Radetzky March , Joseph Roth
 The Waves , Virginia Woolf
 The Glass Key , Dashiell Hammett
 Man’s Fate , Andre Malraux
 Cakes and Ale , W Somerset Maugham
 Cheese , Willem Elsschot
 The Apes of God , Wyndham Lewis
 Her Privates We , Frederic Manning
 Vipers’ Tangle , Francois Mauriac
 Vile Bodies , Evelyn Waugh
 The Maltese Falcon , Dashiell Hammett
 Hebdomeros , Giorgio de Chirico
 The Forbidden Realm , JJSlauerhoff
 Passing , Nella Larsen
 A Farewell to Arms , Ernest Hemingway
 The Return of Philip Latinowicz , Miroslav Krleza
 Red Harvest , Dashiell Hammett
 Living , Henry Green
 The Time of Indifference , Alberto Moravia
 All Quiet on the Western Front , Erich Maria Remarque
 Berlin Alexanderplatz , Alfred Döblin
 Insatiability , Stanislaw Ignacy Witkiewicz
 The Last September , Elizabeth Bowen
 Monica , Saunders Lewis
 Harriet Hume , Rebecca West
 The Sound and the Fury , William Faulkner
 Les Enfants Terribles , Jean Cocteau
" Look Homeward, Angel ", Thomas Wolfe
 Story of the Eye , Georges Bataille
 Orlando , Virginia Woolf
 Lady Chatterley’s Lover , DH Lawrence
 I Thought of Daisy , Edmund Wilson
 The Well of Loneliness , Radclyffe Hall
 The Childermass , Wyndham Lewis
 Quartet , Jean Rhys
 Decline and Fall , Evelyn Waugh
 Quicksand , Nella Larsen
 Parade’s End , Ford Madox Ford
 Retreat Without Song , Shahan Shahnoor
 Nadja , André Breton
 Steppenwolf , Herman Hesse
 Remembrance of Things Past , Marcel Proust
 To The Lighthouse , Virginia Woolf
 Tarka the Otter , Henry Williamson
 Amerika , Franz Kafka
 Some Prefer Nettles , Junichiro Tanizaki
 The Sun Also Rises , Ernest Hemingway
 Blindness , Henry Green
 The Castle , Franz Kafka
 The Good Soldier Švejk , Jaroslav Hašek
 The Plumed Serpent , DH Lawrence
" One, None and a Hundred Thousand ", Luigi Pirandello
 The Murder of Roger Ackroyd , Agatha Christie
 The Making of Americans , Gertrude Stein
 The Case of Sergeant Grischa , Arnold Zweig
 Manhattan Transfer , John Dos Passos
 Mrs, Dalloway  Virginia Woolf
 The Great Gatsby , F Scott Fitzgerald
 The Counterfeiters , André Gide
 The Trial , Franz Kafka
 Alberta and Jacob , Cora Sandel
 The Artamonov Business , Maxim Gorky
 The Professor’s House , Willa Cather
 Under Satan’s Sun , Georges Bernanos
" Billy Budd, Foretopman ", Herman Melville
 The Green Hat , Michael Arlen
 The Magic Mountain , Thomas Mann
 We , Yevgeny Zamyatin
 Chaka the Zulu , Thomas Mofolo
 A Passage to India , EM Forster
 The Devil in the Flesh , Raymond Radiguet
 Zeno’s Conscience , Italo Svevo
 Cane , Jean Toomer
 Antic Hay , Aldous Huxley
 Amok , Stefan Zweig
 Katherine Mansfield714 a, The New World  Henruy Walda-Sellasse
 The Enormous Room , EE Cummings
 Jacob’s Room , Virginia Woolf
 Siddhartha , Herman Hesse
 The Glimpses of the Moon , Edith Wharton
 Life and Death of Harriett Frean , May Sinclair
 The Last Days of Humanity , Karl Kraus
 Aaron’s Rod , DH Lawrence
 Babbitt , Sinclair Lewis
Kristin Lavransdatter , Sigrid Undset
 Ulysses , James Joyce
 The Fox , DH Lawrence
 Crome Yellow , Aldous Huxley
 The Forest of the Hanged , Liviu Rebreanu
 The Age of Innocence , Edith Wharton
 Main Street , Sinclair Lewis
 Claudine’s House , Colette
 Women in Love , DH Lawrence
 Night and Day , Virginia Woolf
 Tarr , Wyndham Lewis
 Life of Christ , Giovanni Papini
 The Return of the Soldier , Rebecca West
 The Shadow Line , Joseph Conrad
 Summer , Edith Wharton
 Growth of the Soil , Knut Hamsen
 Edith Wharton735 a, The Storm of Steel  Ernst Junger
 A Portrait of the Artist as a Young Man , James Joyce
 Under Fire , Henri Barbusse
 Rashomon , Akutagawa Ryunosuke
 The Good Soldier , Ford Madox Ford
 Home and the World , Rabindranath Tagore
 The Voyage Out , Virginia Woolf
 Pallieter , Felix Timmermans
 Of Human Bondage , William Somerset Maugham
 The Underdogs , Mariano Azuela
 The Rainbow , DH Lawrence
 The Thirty-Nine Steps , John Buchan
 Kokoro , Natsume Soseki
 Locus Solus , Raymond Roussel 
 Rosshalde , Herman Hesse
 Tarzan of the Apes , Edgar Rice Burroughs
 The Ragged Trousered Philanthropists , Robert Tressell
 Sons and Lovers , DH Lawrence
 Death in Venice , Thomas Mann
 The Charwoman’s Daughter , James Stephens
 Ethan Frome , Edith Wharton
 Platero and I , Juan Ramon Jiminez
 Fantômas , Marcel Allain and Pierre Souvestre
 Howards End , EM Forster
 Impressions of Africa , Raymond Roussel
 Three Lives , Gertrude Stein
 Martin Eden , Jack London
 Strait is the Gate , André Gide
 Tono-Bungay , HG Wells
 The Inferno , Henri Barbusse
 A Room With a View , EM Forster
 The Notebooks of Malte Laurids Brigge , Rainer Maria Rilke
 The Iron Heel , Jack London
 The Old Wives’ Tale , Arnold Bennett
 The House on the Borderland , William Hope Hodgson
 Mother , Maxim Gorky
 The Secret Agent , Joseph Conrad
 The Jungle , Upton Sinclair
 Young Törless , Robert Musil
 The Forsyte Sage , John Galsworthy
 The House of Mirth , Edith Wharton
 Professor Unrat , Heinrich Mann
 Where Angels Fear to Tread , EM Forster
 Nostromo , Joseph Conrad
 Hadrian the Seventh , Frederick Rolfe
 The Golden Bowl , Henry James
 The Ambassadors , Henry James
 The Riddle of the Sands , Erskine Childers
 The Way of All Flesh , Samuel Butler
 The Immoralist , André Gide
 Memoirs of my Nervous Illness , Daniel P Schreber
 The Wings of the Dove , Henry James
 The Call of the Wild , Jack London
 Heart of Darkness , Joseph Conrad
 The Hound of the Baskervilles , Sir Arthur Conan Doyle
 Buddenbrooks , Thomas Mann
 Kim , Rudyard Kipling
 Sister Carrie , Theodore Dreiser
 Lord Jim , Joseph Conrad
 None but the Brave , Arthur Schnitzler
